# NIRCAM pivot wavelengths from https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-performance/nircam-point-spread-functions
# MIRI average wavelengths from https://jwst-docs.stsci.edu/jwst-mid-infrared-instrument/miri-performance/miri-point-spread-functions
filter_name,empirical_fwhm_pix,central_wave
F150W,1.613,1.501
F164N,1.806,1.644
F187N,2.065,1.874
F200W,2.129,1.990
F212N,2.323,2.120
F277W,1.460,2.786
F300M,1.587,2.996
F335M,1.762,3.365
CONVOLVED_PAH_F360M,1.905,3.621
F360M,1.905,3.621
PAH33,4.44,3.3
F405N,2.159,4.055
F444W,2.302,4.421
F770W,2.445,7.528
F1000W,2.982,9.883
F1130W,3.409,11.298
F2100W,6.127,20.563
